#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter                          
1.6000000000e+01	3.9269908170e-01	1.2160965426e-08                 	1.8646754702e-10                 	1.1974497879e-08                 	1.5333284858e-02                 	2.6808397712e-02                 
1.6500000000e+01	3.8079910953e-01	1.6221093405e-08                 	2.5692055757e-10                 	1.5964172848e-08                 	1.5838670745e-02                 	2.4212391133e-02                 
1.7000000000e+01	3.6959913572e-01	1.9877133697e-08                 	3.6042227897e-10                 	1.9516711418e-08                 	1.8132507658e-02                 	2.2087123629e-02                 
1.7500000000e+01	3.5903916041e-01	2.1854889111e-08                 	4.4826703216e-10                 	2.1406622079e-08                 	2.0511064132e-02                 	2.0513648150e-02                 
1.8000000000e+01	3.4906585040e-01	2.2166190749e-08                 	5.0056078415e-10                 	2.1665629965e-08                 	2.2582174349e-02                 	1.9425920781e-02                 
1.8500000000e+01	3.3963163823e-01	2.1006963895e-08                 	5.0620681581e-10                 	2.0500757079e-08                 	2.4097095532e-02                 	1.8893522086e-02                 
1.9000000000e+01	3.3069396354e-01	1.9307442564e-08                 	4.8289634313e-10                 	1.8824546221e-08                 	2.5010891086e-02                 	1.8675923633e-02                 
1.9500000000e+01	3.2221463114e-01	1.7460544779e-08                 	4.4522514924e-10                 	1.7015319630e-08                 	2.5498926573e-02                 	1.8675248009e-02                 
2.0000000000e+01	3.1415926536e-01	1.5815574258e-08                 	4.0362365609e-10                 	1.5411950602e-08                 	2.5520644998e-02                 	1.8669007092e-02                 
2.1000000000e+01	2.9919930034e-01	1.3153023014e-08                 	3.2615512371e-10                 	1.2826867890e-08                 	2.4796970504e-02                 	1.8483738472e-02                 
2.2000000000e+01	2.8559933214e-01	1.1329367739e-08                 	2.6543759912e-10                 	1.1063930140e-08                 	2.3429162619e-02                 	1.7879275926e-02                 
2.3000000000e+01	2.7318196988e-01	1.0002672326e-08                 	2.1987758640e-10                 	9.7827947392e-09                 	2.1981884365e-02                 	1.7088361491e-02                 
2.4000000000e+01	2.6179938780e-01	9.0117565716e-09                 	1.8510159506e-10                 	8.8266549765e-09                 	2.0540012770e-02                 	1.6218498936e-02                 
2.5000000000e+01	2.5132741229e-01	8.1465638490e-09                 	1.5762229718e-10                 	7.9889415518e-09                 	1.9348316677e-02                 	1.5437964379e-02                 
2.6000000000e+01	2.4166097335e-01	7.3971079427e-09                 	1.3477094520e-10                 	7.2623369975e-09                 	1.8219410375e-02                 	1.4693249723e-02                 
2.7000000000e+01	2.3271056693e-01	6.7462360839e-09                 	1.1641275008e-10                 	6.6298233338e-09                 	1.7255955562e-02                 	1.4013345040e-02                 
2.8000000000e+01	2.2439947526e-01	6.1528039580e-09                 	1.0089902712e-10                 	6.0519049308e-09                 	1.6398869168e-02                 	1.3388693199e-02                 
2.9000000000e+01	2.1666156232e-01	5.6431870724e-09                 	8.7932768047e-11                 	5.5552543043e-09                 	1.5582111123e-02                 	1.2787488307e-02                 
3.0000000000e+01	2.0943951024e-01	5.1664023619e-09                 	7.6868512872e-11                 	5.0895338490e-09                 	1.4878537808e-02                 	1.2238673639e-02                 
3.2000000000e+01	1.9634954085e-01	4.3346411094e-09                 	5.9366020796e-11                 	4.2752750886e-09                 	1.3695717661e-02                 	1.1240949725e-02                 
3.4000000000e+01	1.8479956786e-01	3.6419690135e-09                 	4.6296406368e-11                 	3.5956726071e-09                 	1.2711916602e-02                 	1.0325264345e-02                 
3.6000000000e+01	1.7453292520e-01	3.1051141093e-09                 	3.6345762962e-11                 	3.0687683463e-09                 	1.1705129565e-02                 	9.4221461221e-03                 
3.8000000000e+01	1.6534698177e-01	2.6738456684e-09                 	2.9016906565e-11                 	2.6448287618e-09                 	1.0852124679e-02                 	8.6198143473e-03                 
4.0000000000e+01	1.5707963268e-01	2.3417719231e-09                 	2.3358382467e-11                 	2.3184135407e-09                 	9.9746615954e-03                 	7.8624702515e-03                 
4.5000000000e+01	1.3962634016e-01	1.7902963955e-09                 	1.4297188397e-11                 	1.7759992071e-09                 	7.9859337447e-03                 	6.3046144864e-03                 
5.0000000000e+01	1.2566370614e-01	1.4321590972e-09                 	9.2817292071e-12                 	1.4228773680e-09                 	6.4809344332e-03                 	5.1593790755e-03                 
5.5000000000e+01	1.1423973286e-01	1.1645760248e-09                 	6.3113420757e-12                 	1.1582646828e-09                 	5.4194332883e-03                 	4.3093258874e-03                 
6.0000000000e+01	1.0471975512e-01	9.8058957230e-10                 	4.4378669799e-12                 	9.7615170532e-10                 	4.5257130049e-03                 	3.6426109058e-03                 
6.5000000000e+01	9.6664389341e-02	8.1633472359e-10                 	3.2103701617e-12                 	8.1312435343e-10                 	3.9326639783e-03                 	3.1237524663e-03                 
7.0000000000e+01	8.9759790103e-02	7.1561647920e-10                 	2.3822973163e-12                 	7.1323418188e-10                 	3.3290140536e-03                 	2.7018999245e-03                 
7.5000000000e+01	8.3775804096e-02	6.2026646243e-10                 	1.8107188490e-12                 	6.1845574358e-10                 	2.9192596387e-03                 	2.3685741186e-03                 
8.0000000000e+01	7.8539816340e-02	5.2284033999e-10                 	1.3977455170e-12                 	5.2144259448e-10                 	2.6733696888e-03                 	2.0932728558e-03                 
1.0000000000e+02	6.2831853072e-02	3.2743455804e-10                 	5.6682310877e-13                 	3.2686773494e-10                 	1.7311034979e-03                 	1.3432189997e-03                 
2.0000000000e+02	3.1415926536e-02	8.1631081090e-11                 	3.4989320702e-14                 	8.1596091769e-11                 	4.2862743253e-04                 	3.3682090877e-04                 
5.0000000000e+02	1.2566370614e-02	1.3050881396e-11                 	8.9259415333e-16                 	1.3049988801e-11                 	6.8393400129e-05                 	5.3936565923e-05                 
