Height Pressure Rho
1.676840e+04 8.768856e+03 1.719869e-01
1.686412e+04 8.608648e+03 1.695704e-01
1.695944e+04 8.451366e+03 1.671886e-01
1.705435e+04 8.296959e+03 1.648408e-01
1.714885e+04 8.145372e+03 1.625268e-01
1.724294e+04 7.996555e+03 1.602458e-01
1.733664e+04 7.850456e+03 1.579976e-01
1.742992e+04 7.707027e+03 1.557815e-01
1.752281e+04 7.566219e+03 1.535971e-01
1.761529e+04 7.427982e+03 1.514440e-01
1.770738e+04 7.292272e+03 1.493217e-01
1.779907e+04 7.159041e+03 1.472297e-01
1.789036e+04 7.028244e+03 1.451676e-01
1.798126e+04 6.899837e+03 1.431350e-01
1.807176e+04 6.773776e+03 1.411314e-01
1.816187e+04 6.650018e+03 1.391563e-01
1.825159e+04 6.528521e+03 1.372095e-01
1.834092e+04 6.409244e+03 1.352905e-01
1.842987e+04 6.292146e+03 1.333988e-01
1.851842e+04 6.177188e+03 1.315341e-01
1.860659e+04 6.064329e+03 1.296960e-01
1.869438e+04 5.953533e+03 1.278840e-01
1.878178e+04 5.844761e+03 1.260979e-01
1.886880e+04 5.737976e+03 1.243372e-01
1.895544e+04 5.633143e+03 1.226016e-01
1.904170e+04 5.530224e+03 1.208906e-01
1.912759e+04 5.429186e+03 1.192040e-01
1.921309e+04 5.329994e+03 1.175414e-01
1.929823e+04 5.232614e+03 1.159024e-01
1.938298e+04 5.137014e+03 1.142867e-01
1.946737e+04 5.043159e+03 1.126939e-01
1.955139e+04 4.951020e+03 1.111238e-01
1.963503e+04 4.860564e+03 1.095759e-01
1.971831e+04 4.771761e+03 1.080501e-01
1.980122e+04 4.684580e+03 1.065458e-01
1.988377e+04 4.598992e+03 1.050629e-01
1.996595e+04 4.514968e+03 1.036010e-01
2.004776e+04 4.432479e+03 1.021599e-01
2.012922e+04 4.351497e+03 1.007392e-01
2.021031e+04 4.271994e+03 9.933855e-02
2.029105e+04 4.193944e+03 9.795777e-02
2.037143e+04 4.117320e+03 9.659653e-02
2.045145e+04 4.042096e+03 9.525456e-02
2.053111e+04 3.968246e+03 9.393158e-02
2.061042e+04 3.895746e+03 9.262730e-02
2.068938e+04 3.824570e+03 9.134146e-02
2.076799e+04 3.754694e+03 9.007380e-02
2.084624e+04 3.686095e+03 8.882404e-02
2.092415e+04 3.618750e+03 8.759194e-02
2.100171e+04 3.552635e+03 8.637724e-02
2.107893e+04 3.487727e+03 8.517968e-02
2.115579e+04 3.424006e+03 8.399902e-02
2.123232e+04 3.361449e+03 8.283502e-02
2.130850e+04 3.300035e+03 8.168743e-02
2.138434e+04 3.239743e+03 8.055602e-02
2.145984e+04 3.180552e+03 7.944056e-02
2.153500e+04 3.122443e+03 7.834082e-02
2.160983e+04 3.065395e+03 7.725656e-02
2.168432e+04 3.009390e+03 7.618758e-02
2.175847e+04 2.954408e+03 7.513364e-02
2.183229e+04 2.900430e+03 7.409454e-02
2.190578e+04 2.847439e+03 7.307005e-02
2.197893e+04 2.795416e+03 7.205997e-02
